Ticker,P/E,P/B,ROE,D/E,EPS Growth,Market Cap,P/E_score,P/B_score,ROE_score,EPS Growth_score,Factor Score
APA,6.477061,1.2015291,0.26176,84.961,1.181,6520829440,0.0,0.13062718600829595,0.3351516791938204,1.0,3.2045244931855246
CF,11.268519,2.9345505,0.20794001,45.169,0.796,13801632768,0.28257497620516786,0.31921092703566667,0.22309440129921504,0.8222530009233612,2.4435614989817416
CNC,8.809734,1.0644971,0.12527001,65.384,0.218,29721827328,0.13756877707567045,0.11571565219777137,0.050969226925399194,0.5554016620498615,2.353086459701819
ACGL,9.393846,1.6539357,0.18415001,12.662,-0.493,34323810304,0.17201662875279103,0.17985711997995568,0.17356182722938224,0.22714681440443213,2.0488348929010676
BKR,12.9266205,2.2010112,0.18035999,35.011,-0.111,37524656128,0.3803610763668,0.23938872438739078,0.16567071977347017,0.4035087719298246,1.949429690949104
GOOGL,18.453733,5.827495,0.34789002,8.254,0.488,2016370622464,0.7063210833564858,0.6340150583606213,0.5144808761373337,0.6800554016620498,1.8542001360822762
GOOG,18.623884,5.8746696,0.34789002,8.254,0.488,2015505940480,0.716355693860488,0.6391484990379666,0.5144808761373337,0.6800554016620498,1.839032084900929
ABT,16.696754,4.582606,0.30649,27.087,0.086,223682527232,0.6027037086204493,0.49854885766406754,0.4282829124070873,0.49445983379501385,1.8214901799175844
BRK-B,13.446428,0.0011090238,0.13187,19.175,-0.637,1087960711168,0.4110165870576518,0.0,0.06471090382893664,0.16066481994459833,1.8143591367158831
BF-B,16.612442,4.2927794,0.27985,74.889,-0.05,16367390720,0.5977314305802767,0.4670105370886589,0.3728164234108559,0.4316712834718375,1.7397457392137579
ALL,13.706485,2.6534522,0.19723,36.672,-0.527,53175455744,0.42635338028154895,0.28862240169464426,0.20079535280767863,0.21144967682363802,1.6972692476551237
AIZ,15.360374,1.9118818,0.13204001,39.809,-0.367,9984296960,0.5238910493628576,0.20792627164849267,0.06506487746986198,0.2853185595567867,1.6185661160152982
AMP,17.748724,9.190774,0.58108,74.235,-0.384,49705299968,0.6647433628798732,1.0,1.0,0.2774699907663897,1.6127266278865164
CVX,16.095999,1.648061,0.10079,19.777,-0.327,243967262720,0.567274340392629,0.1792178474912181,0.0,0.30378578024007385,1.5572935923562268
AOS,19.206482,5.2672896,0.27969998,15.945,-0.05,9771300864,0.7507142577855352,0.5730546858714329,0.372504070457432,0.4316712834718375,1.4804064102723014
CHRW,23.267302,6.685181,0.3211,99.658,0.426,11575085056,0.9902000499751923,0.7273466435948265,0.45870203418767824,0.6514312096029548,1.392586550220614
AFL,16.213064,2.147271,0.14408,42.513,-0.985,56362242048,0.5741782179992903,0.23354082893753705,0.0901330446188761,0.0,1.2824139976820488
BLK,23.433474,3.1119602,0.13932,28.41,-0.08,149393195008,1.0,0.33851627717187593,0.08022236565408397,0.4178208679593721,1.1595269564415802
AMAT,22.840523,7.6218104,0.35186002,35.372,-0.398,141957824512,0.9650308706210448,0.8292686834543583,0.5227467155260364,0.27100646352723917,0.9994536249778725
